con_term,con_df,con_cf,con_idf
圣,12,16,1.3187587626244126
条,6,6,1.6197887582883939
咸,3,3,1.9208187539523751
柳,20,21,1.0969100130080565
千,32,39,0.8927900303521316
崔,3,3,1.9208187539523751
汤,1,1,2.397940008672037
拽,1,1,2.397940008672037
思,22,28,1.055517327849831
丹,8,8,1.494850021680094
篱,2,2,2.0969100130080562
芭,1,1,2.397940008672037
像,1,2,2.397940008672037
巉,1,1,2.397940008672037
瘴,1,1,2.397940008672037
刁,2,2,2.0969100130080562
造,3,3,1.9208187539523751
谷,1,1,2.397940008672037
辉,4,4,1.7958800173440752
移,7,7,1.5528419686577806
笙,1,1,2.397940008672037
娄,1,1,2.397940008672037
上,64,75,0.5917600346881503
窈,1,1,2.397940008672037
萤,3,3,1.9208187539523751
聆,1,1,2.397940008672037
枯,3,3,1.9208187539523751
别,25,30,1.0
魅,1,1,2.397940008672037
室,5,5,1.6989700043360185
徘,2,2,2.0969100130080562
崇,2,2,2.0969100130080562
默,2,3,2.0969100130080562
耿,1,2,2.397940008672037
妆,9,10,1.4436974992327125
佛,2,2,2.0969100130080562
费,2,2,2.0969100130080562
逆,2,2,2.0969100130080562
求,4,5,1.7958800173440752
履,1,1,2.397940008672037
矣,2,2,2.0969100130080562
禾,1,1,2.397940008672037
忌,1,1,2.397940008672037
沾,9,9,1.4436974992327125
伎,1,1,2.397940008672037
衡,1,1,2.397940008672037
去,47,55,0.7258421507363201
想,5,5,1.6989700043360185
涂,1,1,2.397940008672037
舞,10,13,1.3979400086720375
悸,1,1,2.397940008672037
胆,1,1,2.397940008672037
丁,1,1,2.397940008672037
止,4,5,1.7958800173440752
绢,1,1,2.397940008672037
冬,1,1,2.397940008672037
复,26,30,0.9829666607012195
伶,1,1,2.397940008672037
屏,6,6,1.6197887582883939
护,3,3,1.9208187539523751
绮,5,5,1.6989700043360185
木,16,16,1.1938200260161127
讴,1,1,2.397940008672037
氏,3,3,1.9208187539523751
荣,2,2,2.0969100130080562
第,5,5,1.6989700043360185
肤,1,1,2.397940008672037
扫,10,10,1.3979400086720375
熊,1,1,2.397940008672037
缠,3,3,1.9208187539523751
玳,1,1,2.397940008672037
续,1,2,2.397940008672037
僧,5,5,1.6989700043360185
飙,1,1,2.397940008672037
岸,6,6,1.6197887582883939
封,5,6,1.6989700043360185
宠,2,2,2.0969100130080562
妹,1,1,2.397940008672037
炙,1,1,2.397940008672037
传,15,15,1.2218487496163564
存,5,5,1.6989700043360185
接,9,9,1.4436974992327125
殒,1,1,2.397940008672037
窥,7,7,1.5528419686577806
余,14,15,1.2518119729937995
心,44,54,0.7544873321858501
灰,2,2,2.0969100130080562
凛,1,1,2.397940008672037
命,5,5,1.6989700043360185
吁,1,1,2.397940008672037
潇,1,1,2.397940008672037
涓,1,1,2.397940008672037
妃,3,3,1.9208187539523751
娇,2,3,2.0969100130080562
泣,3,4,1.9208187539523751
迢,6,9,1.6197887582883939
奢,1,1,2.397940008672037
莺,7,7,1.5528419686577806
