con_term,con_cf,con_post
英灵,1,{61: 1}
难晓,1,{118: 1}
华疏,1,{242: 1}
诏世,1,{164: 1}
北向,1,{76: 1}
商女,1,{58: 1}
未有,3,"{56: 1, 84: 1, 99: 1}"
碧玉,1,{217: 1}
舟重,1,{34: 1}
叶荻,1,{32: 1}
为离,1,{35: 1}
夜啼,1,{109: 1}
花水,1,{222: 1}
遥寄,1,{186: 1}
吴平,1,{44: 1}
少颜,1,{84: 1}
花枝,1,{120: 1}
战尽,1,{179: 1}
士军,1,{112: 1}
志决,1,{100: 1}
庙比,1,{118: 1}
影重,1,{110: 1}
牧童,2,"{118: 1, 224: 1}"
意睢,1,{119: 1}
鹃沧,1,{151: 1}
曹射,1,{157: 1}
众峰,1,{119: 1}
井笑,1,{132: 1}
壮古,1,{118: 1}
不见,25,"{17: 1, 33: 1, 38: 2, 70: 3, 72: 1, 74: 1, 82: 2, 98: 1, 109: 1, 112: 1, 123: 1, 124: 2, 127: 1, 132: 1, 134: 1, 176: 1, 181: 1, 222: 1, 231: 1, 240: 1}"
千里,7,"{5: 1, 7: 1, 13: 1, 69: 1, 109: 1, 209: 1, 216: 1}"
濯冠,1,{118: 1}
仍怜,1,{55: 1}
高标,1,{128: 1}
降王,1,{146: 1}
地犹,2,"{69: 1, 204: 1}"
上相,2,"{59: 1, 163: 1}"
水阔,1,{163: 1}
鸥日,1,{92: 1}
雄泪,1,{95: 1}
生罴,1,{149: 1}
试拂,1,{216: 1}
潮归,1,{34: 1}
杯酒,3,"{27: 1, 134: 1, 234: 1}"
风为,1,{127: 1}
事依,1,{89: 1}
养在,1,{70: 1}
识天,1,{70: 1}
呼儿,1,{124: 1}
君迢,1,{121: 1}
以精,1,{70: 1}
宵无,1,{156: 1}
烟火,1,{215: 1}
夜魂,1,{100: 1}
滴孤,1,{180: 1}
床也,1,{109: 1}
后天,2,"{128: 1, 220: 1}"
沱忆,1,{118: 1}
长风,6,"{84: 1, 123: 1, 133: 1, 135: 1, 143: 1, 245: 1}"
南行,1,{70: 1}
嘲哳,1,{32: 1}
与盖,1,{118: 1}
古津,1,{222: 1}
