con_term,con_post
社,{132: 1}
遵,{230: 1}
琐,"{143: 1, 217: 1}"
愈,{149: 3}
木,"{25: 1, 36: 1, 53: 1, 62: 1, 85: 1, 90: 1, 91: 1, 111: 1, 128: 1, 143: 1, 164: 1, 181: 1, 209: 1, 212: 1, 215: 1, 216: 1}"
崖,"{126: 1, 127: 1, 128: 1}"
茵,{93: 1}
顶,"{97: 1, 119: 1, 158: 1, 196: 1}"
痕,"{109: 2, 101: 1, 138: 1, 167: 1, 169: 1, 250: 1}"
苔,"{17: 1, 118: 1, 121: 1, 126: 1, 167: 1}"
华,"{70: 4, 217: 2, 62: 1, 75: 1, 77: 1, 98: 1, 100: 1, 105: 1, 113: 1, 134: 1, 151: 1, 184: 1, 194: 1, 197: 1, 242: 1}"
扬,"{90: 2, 18: 1, 107: 1, 108: 1, 177: 1, 186: 1}"
历,"{57: 2, 245: 2, 118: 1, 128: 1}"
恣,{124: 1}
荷,"{40: 1, 189: 1, 224: 1}"
携,{131: 1}
摐,{112: 1}
妨,{158: 1}
弥,{191: 1}
惟,"{70: 1, 84: 1, 99: 1, 124: 1, 127: 1, 193: 1, 246: 1, 250: 1}"
裘,"{72: 1, 124: 1, 214: 1}"
拾,{118: 1}
笺,{109: 1}
冤,"{82: 1, 96: 1}"
北,"{74: 2, 112: 2, 12: 1, 28: 1, 72: 1, 75: 1, 76: 1, 80: 1, 82: 1, 86: 1, 87: 1, 92: 1, 100: 1, 109: 1, 129: 1, 152: 1, 170: 1, 185: 1, 188: 1, 202: 1, 227: 1}"
团,{205: 1}
宇,"{70: 1, 100: 1}"
都,"{70: 3, 246: 2, 53: 1, 72: 1, 98: 1, 118: 1, 149: 1, 222: 1, 226: 1}"
衾,"{70: 1, 72: 1, 156: 1}"
群,"{90: 1, 92: 1, 100: 1, 143: 1, 187: 1, 234: 1, 238: 1}"
诸,"{118: 3, 99: 1, 100: 1}"
鸳,"{109: 2, 70: 1, 91: 1, 121: 1, 190: 1}"
丛,"{128: 1, 230: 1, 238: 1}"
