con_term,con_post
圣,"{42: 1, 49: 1, 61: 1, 66: 1, 70: 1, 73: 1, 99: 1, 111: 1, 116: 1, 118: 1, 124: 1, 149: 5}"
条,"{68: 1, 99: 1, 100: 1, 112: 1, 142: 1, 242: 1}"
咸,"{75: 1, 82: 1, 118: 1}"
柳,"{27: 1, 31: 1, 46: 1, 64: 1, 70: 2, 80: 1, 109: 1, 125: 1, 142: 1, 166: 1, 171: 1, 194: 1, 207: 1, 216: 1, 217: 1, 223: 1, 227: 1, 230: 1, 236: 1, 238: 1}"
千,"{5: 1, 7: 1, 13: 1, 19: 1, 32: 1, 36: 1, 57: 1, 64: 1, 69: 1, 70: 3, 72: 1, 79: 1, 80: 1, 82: 1, 90: 1, 100: 2, 109: 2, 113: 1, 120: 1, 124: 3, 127: 2, 128: 1, 133: 1, 134: 1, 148: 1, 172: 1, 173: 1, 177: 1, 209: 1, 216: 1, 221: 1, 222: 1}"
崔,"{36: 1, 37: 1, 128: 1}"
汤,{149: 1}
拽,{149: 1}
思,"{6: 1, 16: 1, 24: 1, 32: 1, 45: 1, 46: 1, 69: 1, 70: 3, 100: 1, 106: 1, 109: 2, 121: 4, 123: 1, 135: 1, 142: 1, 151: 1, 158: 1, 159: 1, 163: 1, 168: 1, 222: 1, 232: 1}"
丹,"{36: 1, 73: 1, 84: 1, 114: 1, 119: 1, 124: 1, 126: 1, 149: 1}"
篱,"{92: 1, 198: 1}"
芭,{117: 1}
像,{100: 2}
巉,{128: 1}
瘴,{203: 1}
刁,"{112: 1, 141: 1}"
造,"{36: 1, 97: 1, 143: 1}"
谷,{91: 1}
辉,"{98: 1, 101: 1, 171: 1, 209: 1}"
移,"{21: 1, 32: 1, 68: 1, 100: 1, 116: 1, 152: 1, 198: 1}"
笙,{109: 1}
娄,{246: 1}
上,"{7: 1, 8: 1, 11: 1, 17: 1, 23: 1, 24: 1, 32: 1, 33: 1, 52: 1, 57: 1, 59: 1, 64: 1, 69: 1, 70: 3, 72: 1, 74: 1, 75: 1, 76: 1, 82: 1, 84: 5, 87: 1, 93: 1, 104: 1, 108: 1, 109: 1, 111: 1, 116: 1, 119: 1, 120: 1, 121: 1, 124: 1, 126: 1, 128: 4, 133: 1, 134: 2, 135: 1, 142: 1, 146: 1, 149: 2, 159: 1, 163: 1, 164: 1, 168: 1, 176: 1, 179: 1, 188: 1, 189: 1, 193: 1, 194: 1, 196: 1, 207: 1, 217: 1, 218: 1, 220: 1, 223: 1, 227: 1, 228: 1, 229: 1, 234: 1, 238: 1, 239: 1, 240: 1, 244: 1, 248: 1}"
窈,{36: 1}
萤,"{70: 1, 155: 1, 243: 1}"
聆,{234: 1}
枯,"{23: 1, 128: 1, 142: 1}"
别,"{23: 1, 25: 1, 32: 4, 35: 1, 47: 1, 54: 1, 65: 1, 70: 3, 81: 1, 88: 1, 108: 1, 109: 1, 111: 1, 112: 1, 114: 1, 125: 1, 126: 1, 127: 1, 129: 1, 159: 1, 178: 1, 201: 1, 228: 1, 229: 1, 232: 1}"
魅,{96: 1}
室,"{60: 1, 84: 1, 90: 1, 168: 1, 196: 1}"
徘,"{70: 1, 205: 1}"
崇,"{118: 1, 234: 1}"
默,"{116: 2, 119: 1}"
耿,{70: 2}
妆,"{10: 1, 32: 2, 70: 1, 109: 1, 110: 1, 195: 1, 207: 1, 217: 1, 244: 1}"
佛,"{117: 1, 119: 1}"
费,"{145: 1, 246: 1}"
逆,"{34: 1, 128: 1}"
求,"{60: 1, 62: 1, 70: 2, 127: 1}"
履,{167: 1}
矣,"{84: 1, 218: 1}"
禾,{82: 1}
忌,{132: 1}
沾,"{46: 1, 47: 1, 67: 1, 70: 1, 80: 1, 143: 1, 153: 1, 163: 1, 231: 1}"
伎,{172: 1}
衡,{111: 1}
去,"{4: 1, 23: 1, 32: 4, 33: 1, 34: 1, 41: 1, 54: 1, 57: 2, 70: 2, 72: 2, 76: 1, 80: 1, 82: 1, 93: 1, 98: 1, 100: 1, 104: 1, 109: 2, 114: 1, 117: 1, 121: 1, 126: 1, 127: 1, 128: 1, 129: 1, 132: 1, 135: 1, 152: 1, 153: 1, 157: 1, 159: 1, 168: 1, 183: 1, 191: 1, 193: 1, 198: 2, 202: 1, 211: 1, 222: 1, 227: 1, 229: 1, 230: 1, 231: 1, 232: 1, 238: 1, 240: 1, 241: 1}"
想,"{83: 1, 100: 1, 109: 1, 189: 1, 246: 1}"
涂,{149: 1}
舞,"{70: 2, 90: 2, 98: 1, 109: 2, 112: 1, 149: 1, 172: 1, 177: 1, 206: 1, 217: 1}"
悸,{127: 1}
胆,{132: 1}
丁,{240: 1}
止,"{70: 1, 118: 2, 196: 1, 230: 1}"
绢,{84: 1}
冬,{82: 1}
