title_term,title_df,title_cf,title_idf
蜀,5,5,1.6989700043360185
阴,2,2,2.0969100130080562
黄,3,3,1.9208187539523751
韩,3,3,1.9208187539523751
绅,1,1,2.397940008672037
柳,2,2,2.0969100130080562
崔,1,1,2.397940008672037
陵,7,7,1.5528419686577806
阶,1,1,2.397940008672037
锦,1,1,2.397940008672037
漳,1,1,2.397940008672037
思,7,7,1.5528419686577806
丹,1,1,2.397940008672037
引,1,1,2.397940008672037
筹,1,1,2.397940008672037
薛,1,1,2.397940008672037
谷,2,2,2.0969100130080562
阙,4,4,1.7958800173440752
浩,2,2,2.0969100130080562
上,9,9,1.4436974992327125
八,3,3,1.9208187539523751
孤,1,1,2.397940008672037
凤,1,1,2.397940008672037
郡,1,1,2.397940008672037
洗,1,1,2.397940008672037
别,15,16,1.2218487496163564
次,3,3,1.9208187539523751
过,3,3,1.9208187539523751
孔,1,1,2.397940008672037
滁,1,1,2.397940008672037
与,3,3,1.9208187539523751
隋,2,2,2.0969100130080562
寄,16,17,1.1938200260161127
吹,1,1,2.397940008672037
图,3,3,1.9208187539523751
新,1,1,2.397940008672037
员,2,3,2.0969100130080562
衡,1,1,2.397940008672037
先,1,1,2.397940008672037
无,4,4,1.7958800173440752
董,1,1,2.397940008672037
舞,1,1,2.397940008672037
裴,2,2,2.0969100130080562
庭,1,1,2.397940008672037
金,6,6,1.6197887582883939
见,4,4,1.7958800173440752
京,3,3,1.9208187539523751
丁,1,1,2.397940008672037
功,1,1,2.397940008672037
洞,1,1,2.397940008672037
琶,1,1,2.397940008672037
晋,1,1,2.397940008672037
济,1,1,2.397940008672037
舟,1,1,2.397940008672037
第,1,1,2.397940008672037
凰,1,1,2.397940008672037
奉,2,2,2.0969100130080562
贾,3,3,1.9208187539523751
王,3,4,1.9208187539523751
即,1,1,2.397940008672037
拾,1,1,2.397940008672037
僧,2,2,2.0969100130080562
刘,2,2,2.0969100130080562
远,1,1,2.397940008672037
自,1,1,2.397940008672037
封,2,2,2.0969100130080562
列,1,1,2.397940008672037
词,4,4,1.7958800173440752
呈,1,1,2.397940008672037
潼,1,1,2.397940008672037
里,1,1,2.397940008672037
溪,4,4,1.7958800173440752
眙,1,1,2.397940008672037
谣,1,1,2.397940008672037
咏,2,2,2.0969100130080562
陆,2,2,2.0969100130080562
醉,1,1,2.397940008672037
白,3,3,1.9208187539523751
淮,1,1,2.397940008672037
浚,1,1,2.397940008672037
草,1,1,2.397940008672037
乐,2,2,2.0969100130080562
语,1,1,2.397940008672037
杂,2,2,2.0969100130080562
同,2,2,2.0969100130080562
试,1,1,2.397940008672037
难,4,4,1.7958800173440752
云,2,2,2.0969100130080562
至,4,4,1.7958800173440752
谢,1,1,2.397940008672037
录,1,1,2.397940008672037
宅,1,1,2.397940008672037
行,15,15,1.2218487496163564
